City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-01-21 21:06:27,-23.1203,-134.9692,78.44,74,100,8.84
1,Kaitangata,NZ,2022-01-21 21:06:27,-46.2817,169.8464,60.93,60,14,9.55
2,Saint-Philippe,RE,2022-01-21 21:06:28,-21.3585,55.7679,81.95,87,62,17.36
3,Vaini,TO,2022-01-21 21:06:28,-21.2,-175.2,80.87,71,66,15.19
4,Severo-Kurilsk,RU,2022-01-21 21:02:16,50.6789,156.125,28.49,82,97,8.77
5,Punta Arenas,CL,2022-01-21 21:01:58,-53.15,-70.9167,61.7,54,49,11.05
6,Ulladulla,AU,2022-01-21 21:06:12,-35.35,150.4667,65.88,68,96,2.17
7,Fukue,JP,2022-01-21 21:06:28,32.6881,128.8419,48.45,58,88,3.65
8,Mahebourg,MU,2022-01-21 21:02:15,-20.4081,57.7,81.25,84,37,18.99
9,Port Hedland,AU,2022-01-21 21:04:40,-20.3167,118.5667,82.45,83,56,5.75
10,Bethel,US,2022-01-21 21:06:29,41.3712,-73.414,23.31,51,0,5.75
11,Tuktoyaktuk,CA,2022-01-21 21:03:16,69.4541,-133.0374,-30.8,98,12,6.76
12,Hermanus,ZA,2022-01-21 21:06:29,-34.4187,19.2345,72.81,84,3,16.06
13,Amapa,BR,2022-01-21 21:06:30,1.0,-52.0,74.66,97,89,3.0
14,Asnaes,DK,2022-01-21 21:06:30,55.8123,11.5013,39.54,96,79,8.28
15,Robertsport,LR,2022-01-21 21:06:30,6.7533,-11.3686,80.46,76,2,7.96
16,Bluff,NZ,2022-01-21 21:06:31,-46.6,168.3333,56.8,75,99,17.6
17,Atuona,PF,2022-01-21 21:06:31,-9.8,-139.0333,78.93,75,16,24.25
18,Hobart,AU,2022-01-21 21:05:21,-42.8794,147.3294,65.12,82,20,1.99
19,College,US,2022-01-21 21:06:31,64.8569,-147.8028,15.78,78,100,9.22
20,Nikolskoye,RU,2022-01-21 21:06:31,59.7035,30.7861,27.39,97,94,5.82
21,Busselton,AU,2022-01-21 21:06:32,-33.65,115.3333,74.05,44,54,10.25
22,Kununurra,AU,2022-01-21 21:06:32,-15.7667,128.7333,78.78,94,100,3.44
23,Araouane,ML,2022-01-21 21:02:13,18.9048,-3.5265,65.17,15,37,10.63
24,Geraldton,AU,2022-01-21 21:06:33,-28.7667,114.6,82.81,20,0,11.5
25,Sinnamary,GF,2022-01-21 21:06:33,5.3833,-52.95,76.96,89,90,10.38
26,Yellowknife,CA,2022-01-21 21:06:33,62.456,-114.3525,-18.71,67,15,1.99
27,Upernavik,GL,2022-01-21 21:06:34,72.7868,-56.1549,-2.27,91,100,2.91
28,Batagay-Alyta,RU,2022-01-21 21:06:34,67.8006,130.4114,-16.76,89,90,3.83
29,Kipushi,CD,2022-01-21 21:06:34,-11.7667,27.2333,61.25,98,100,3.0
30,Alice Springs,AU,2022-01-21 21:06:34,-23.7,133.8833,74.21,95,100,1.01
31,Ushuaia,AR,2022-01-21 21:06:35,-54.8,-68.3,65.82,51,75,11.5
32,Mataura,NZ,2022-01-21 21:06:35,-46.1927,168.8643,56.48,72,92,6.58
33,Chanika,TZ,2022-01-21 21:06:35,-5.4167,38.0167,70.68,95,100,2.28
34,Kaeo,NZ,2022-01-21 21:02:14,-35.1,173.7833,68.32,79,51,5.91
35,Curup,ID,2022-01-21 21:06:36,-3.4667,102.5333,66.22,98,99,1.54
36,Chuy,UY,2022-01-21 21:06:36,-33.6971,-53.4616,80.04,79,75,17.18
37,Tuatapere,NZ,2022-01-21 21:06:36,-46.1333,167.6833,56.82,71,46,5.23
